5701,普通,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,05:20,05:25,05:28,05:31,05:34,05:37
5291,普通,13:06,13:09,13:12,13:15,13:17,13:20,13:22,13:26,13:29,13:32,13:35,13:37,13:40,13:43,・・,・・,・・,・・,・・,・・
4035,区快,13:13,13:16,13:19,13:22,13:24,↓,↓,13:31,13:34,13:37,↓,13:41,13:44,↓,13:50,13:54,13:58,14:01,14:04,14:06
5035,普通,13:18,13:21,13:23,13:26,13:29,13:32,13:34,13:38,13:41,13:44,13:47,13:49,13:52,13:55,14:05,14:11,14:14,14:17,14:20,14:23
4035,区快,13:13,13:16,13:19,13:22,13:24,↓,↓,13:31,13:34,13:37,↓,13:41,13:44,↓,13:50,13:54,13:58,14:01,14:04,14:06
5035,普通,13:18,13:21,13:23,13:26,13:29,13:32,13:34,13:38,13:41,13:44,13:47,13:49,13:52,13:55,14:05,14:11,14:14,14:17,14:20,14:23
5293,普通,13:24,13:27,13:30,13:33,13:36,13:39,13:41,13:48,13:51,13:54,13:57,13:59,14:02,14:05,・・,・・,・・,・・,・・,・・
3029,快速,13:30,13:32,13:35,13:38,13:41,↓,↓,↓,↓,13:51,↓,13:55,↓,↓,14:03,↓,↓,↓,↓,14:15
5295,普通,13:36,13:39,13:42,13:45,13:47,13:50,13:52,13:56,13:59,14:02,14:05,14:07,14:10,14:13,・・,・・,・・,・・,・・,・・
4037,区快,13:43,13:46,13:49,13:52,13:54,↓,↓,14:01,14:04,14:07,↓,14:11,14:14,↓,14:20,14:24,14:28,14:31,14:34,14:36
5037,普通,13:48,13:51,13:53,13:56,13:59,14:02,14:04,14:08,14:11,14:14,14:17,14:19,14:22,14:25,14:35,14:41,14:44,14:47,14:50,14:53
5297,普通,13:54,13:57,14:00,14:03,14:06,14:09,14:11,14:18,14:21,14:24,14:27,14:29,14:32,14:35,・・,・・,・・,・・,・・,・・
3031,快速,14:00,14:02,14:05,14:08,14:11,↓,↓,↓,↓,14:21,↓,14:25,↓,↓,14:33,↓,↓,↓,↓,14:45
5299,普通,14:06,14:09,14:12,14:15,14:17,14:20,14:22,14:26,14:29,14:32,14:35,14:37,14:40,14:43,・・,・・,・・,・・,・・,・・
4039,区快,14:13,14:16,14:19,14:22,14:24,↓,↓,14:31,14:34,14:37,↓,14:41,14:44,↓,14:50,14:54,14:58,15:01,15:04,15:06
5039,普通,14:18,14:21,14:23,14:26,14:29,14:32,14:34,14:38,14:41,14:44,14:47,14:49,14:52,14:55,15:05,15:11,15:14,15:17,15:20,15:23
5301,普通,14:24,14:27,14:30,14:33,14:36,14:39,14:41,14:48,14:51,14:54,14:57,14:59,15:02,15:05,・・,・・,・・,・・,・・,・・
3033,快速,14:30,14:32,14:35,14:38,14:41,↓,↓,↓,↓,14:51,↓,14:55,↓,↓,15:03,↓,↓,↓,↓,15:15
5303,普通,14:36,14:39,14:42,14:45,14:47,14:50,14:52,14:56,14:59,15:02,15:05,15:07,15:10,15:13,・・,・・,・・,・・,・・,・・
4041,区快,14:43,14:46,14:49,14:52,14:54,↓,↓,15:01,15:04,15:07,↓,15:11,15:14,↓,15:20,15:24,15:28,15:31,15:34,15:36
5041,普通,14:48,14:51,14:53,14:56,14:59,15:02,15:04,15:08,15:11,15:14,15:17,15:19,15:22,15:25,15:35,15:41,15:44,15:47,15:50,15:53
5305,普通,14:54,14:57,15:00,15:03,15:06,15:09,15:11,15:18,15:21,15:24,15:27,15:29,15:32,15:35,・・,・・,・・,・・,・・,・・
3035,快速,15:00,15:02,15:05,15:08,15:11,↓,↓,↓,↓,15:21,↓,15:25,↓,↓,15:33,↓,↓,↓,↓,15:45
5307,普通,15:06,15:09,15:12,15:15,15:17,15:20,15:22,15:26,15:29,15:32,15:35,15:37,15:40,15:43,・・,・・,・・,・・,・・,・・
4043,区快,15:13,15:16,15:19,15:22,15:24,↓,↓,15:31,15:34,15:37,↓,15:41,15:44,↓,15:50,15:54,15:58,16:01,16:04,16:06
5043,普通,15:18,15:21,15:23,15:26,15:29,15:32,15:34,15:38,15:41,15:44,15:47,15:49,15:52,15:55,16:05,16:11,16:14,16:17,16:20,16:23
5309,普通,15:24,15:27,15:30,15:33,15:36,15:39,15:41,15:48,15:51,15:54,15:57,15:59,16:02,16:05,・・,・・,・・,・・,・・,・・
3037,快速,15:30,15:32,15:35,15:38,15:41,↓,↓,↓,↓,15:51,↓,15:55,↓,↓,16:03,↓,↓,↓,↓,16:15
5311,普通,15:36,15:39,15:42,15:45,15:47,15:50,15:52,15:56,15:59,16:02,16:05,16:07,16:10,16:13,・・,・・,・・,・・,・・,・・
4045,区快,15:43,15:46,15:49,15:52,15:54,↓,↓,16:01,16:04,16:07,↓,16:11,16:14,↓,16:20,16:24,16:28,16:31,16:34,16:36
5045,普通,15:48,15:51,15:53,15:56,15:59,16:02,16:04,16:08,16:11,16:14,16:17,16:19,16:22,16:25,16:35,16:41,16:44,16:47,16:50,16:53
5313,普通,15:54,15:57,16:00,16:03,16:06,16:09,16:11,16:18,16:21,16:24,16:27,16:29,16:32,16:35,・・,・・,・・,・・,・・,・・
5045,普通,15:48,15:51,15:53,15:56,15:59,16:02,16:04,16:08,16:11,16:14,16:17,16:19,16:22,16:25,16:35,16:41,16:44,16:47,16:50,16:53
5313,普通,15:54,15:57,16:00,16:03,16:06,16:09,16:11,16:18,16:21,16:24,16:27,16:29,16:32,16:35,・・,・・,・・,・・,・・,・・
3039,快速,16:00,16:02,16:05,16:08,16:11,↓,↓,↓,↓,16:21,↓,16:25,↓,↓,16:33,↓,↓,↓,↓,16:45
5315,普通,16:06,16:09,16:12,16:15,16:17,16:20,16:22,16:26,16:29,16:32,16:35,16:37,16:40,16:43,・・,・・,・・,・・,・・,・・
4047,区快,16:13,16:16,16:19,16:22,16:24,↓,↓,16:31,16:34,16:37,↓,16:41,16:44,↓,16:50,16:54,16:58,17:01,17:04,17:06
5047,普通,16:18,16:21,16:23,16:26,16:29,16:32,16:34,16:38,16:41,16:44,16:47,16:49,16:52,16:55,17:05,17:11,17:14,17:17,17:20,17:23
5317,普通,16:24,16:27,16:30,16:33,16:36,16:39,16:41,16:48,16:51,16:54,16:57,16:59,17:02,17:05,・・,・・,・・,・・,・・,・・
3041,快速,16:30,16:32,16:35,16:38,16:41,↓,↓,↓,↓,16:51,↓,16:55,↓,↓,17:03,↓,↓,↓,↓,17:15
5319,普通,16:35,16:38,16:41,16:44,16:46,16:49,16:51,16:55,16:58,17:01,17:04,17:06,17:09,17:12,・・,・・,・・,・・,・・,・・
4049,区快,16:42,16:45,16:48,16:51,16:53,↓,↓,17:00,17:03,17:06,↓,17:10,17:13,↓,17:19,17:23,17:27,17:30,17:33,17:35
